group	side	ckey	rawpath	value	site
producer_phase	S4_合同schema	producer_phase	role_binding.producer_phase	enum=["phase1","phase2","phase3"]	eng/contracts/data/phase_product_exchange.schema.json#/role_binding/items/producer_phase
plane_id	S4_合同schema	plane_id	plane.plane_id	enum=["signal","support","variance","ivar","mask"]	eng/contracts/data/phase_product_exchange.schema.json#/plane/plane_id
plane.dtype	S4_合同schema	plane.dtype	plane.dtype	enum=["float32","float64","u8"]	eng/contracts/data/phase_product_exchange.schema.json#/plane/dtype
schema	S4_合同schema	content_schema	product_content.content_schema	const="astrocs.phase-product-content/v1"	eng/contracts/data/phase_product_exchange.schema.json#/product_content/content_schema
frame	S4_合同schema	frame	product_content.coordinate.frame	const="icrs"	eng/contracts/data/phase_product_exchange.schema.json#/product_content/coordinate/frame
ra_unit	S4_合同schema	ra_unit	product_content.coordinate.ra_unit	const="deg"	eng/contracts/data/phase_product_exchange.schema.json#/product_content/coordinate/ra_unit
dec_unit	S4_合同schema	dec_unit	product_content.coordinate.dec_unit	const="deg"	eng/contracts/data/phase_product_exchange.schema.json#/product_content/coordinate/dec_unit
geometry.format	S4_合同schema	geometry.format	product_content.geometry.format	enum=["hips","fits"]	eng/contracts/data/phase_product_exchange.schema.json#/product_content/geometry/format
hips.ordering	S4_合同schema	hips.ordering	product_content.geometry.hips.ordering	const="nested"	eng/contracts/data/phase_product_exchange.schema.json#/product_content/geometry/hips/ordering
tile_width	S4_合同schema	tile_width	product_content.geometry.hips.tile_width	minimum=1	eng/contracts/data/phase_product_exchange.schema.json#/product_content/geometry/hips/tile_width
projection	S4_合同schema	projection	product_content.geometry.fits.projection	const="TAN"	eng/contracts/data/phase_product_exchange.schema.json#/product_content/geometry/fits/projection
wcs	S4_合同schema	wcs	product_content.geometry.fits.wcs	const="present"	eng/contracts/data/phase_product_exchange.schema.json#/product_content/geometry/fits/wcs
invalid_policy	S4_合同schema	invalid_policy	product_content.invalid_policy	enum=["nan_or_support_le_0"]	eng/contracts/data/phase_product_exchange.schema.json#/product_content/invalid_policy
schema	S4_合同schema	schema	schema	const="astrocs.contract-index/v1"	eng/contracts/schemas/contract_index.schema.json#/schema
contracts	S4_合同schema	contracts	contracts	enum=["SCI","ALG","DATA","ARCH","API","MOD","TEST"]	eng/contracts/schemas/contract_index.schema.json#/contracts/items/type
contracts.status	S4_合同schema	contracts.status	contracts.status	enum=["ACTIVE","DRAFT","OBSOLETE","CONFLICT","DORMANT"]	eng/contracts/schemas/contract_index.schema.json#/contracts/items/status
schema_version	S4_合同schema	schema_version	schema_version	const=1	eng/contracts/schemas/cpu_profile.schema.json#/schema_version
mode	S4_合同schema	mode	mode	enum=["quick","full"]	eng/contracts/schemas/cpu_profile.schema.json#/mode
kernels.precision	S4_合同schema	kernels.precision	kernels.precision	enum=["fp32","fp64"]	eng/contracts/schemas/cpu_profile.schema.json#/kernels/items/precision
size_class	S4_合同schema	size_class	kernels.size_class	enum=["small","medium","large"]	eng/contracts/schemas/cpu_profile.schema.json#/kernels/items/size_class
workers	S4_合同schema	workers	kernels.workers	minimum=1	eng/contracts/schemas/cpu_profile.schema.json#/kernels/items/workers
block_size	S4_合同schema	block_size	kernels.block_size	minimum=0	eng/contracts/schemas/cpu_profile.schema.json#/kernels/items/block_size
oracle_status	S4_合同schema	oracle_status	kernels.oracle_status	enum=["PASS","pass"]	eng/contracts/schemas/cpu_profile.schema.json#/kernels/items/oracle_status
provider	S4_合同schema	provider	kernels.provider	enum=["baseline","avx2","avx512"]	eng/contracts/schemas/cpu_profile.schema.json#/kernels/additionalProperties/provider
workers	S4_合同schema	workers	kernels.workers	minimum=1	eng/contracts/schemas/cpu_profile.schema.json#/kernels/additionalProperties/workers
block	S4_合同schema	block	kernels.block	minimum=1	eng/contracts/schemas/cpu_profile.schema.json#/kernels/additionalProperties/block
median	S4_合同schema	median	kernels.median	exclusiveMinimum=0	eng/contracts/schemas/cpu_profile.schema.json#/kernels/additionalProperties/median
mad	S4_合同schema	mad	kernels.mad	minimum=0	eng/contracts/schemas/cpu_profile.schema.json#/kernels/additionalProperties/mad
verdict	S4_合同schema	verdict	verdict	enum=["PASS","FAIL"]	eng/contracts/schemas/cpu_profile.schema.json#/verdict
schema	S4_合同schema	schema	schema	const="astrocs.cpu-profile/v2"	eng/contracts/schemas/cpu_profile.schema.json#/schema
schema_version	S4_合同schema	schema_version	legacy_v1.schema_version	const=1	eng/contracts/schemas/cpu_profile.schema.json#/legacy_v1/schema_version
legacy_v1.mode	S4_合同schema	legacy_v1.mode	legacy_v1.mode	enum=["quick","full"]	eng/contracts/schemas/cpu_profile.schema.json#/legacy_v1/mode
architecture	S4_合同schema	architecture	legacy_v1.hardware.architecture	const="amd64"	eng/contracts/schemas/cpu_profile.schema.json#/legacy_v1/hardware/architecture
available_logical_cpus	S4_合同schema	available_logical_cpus	legacy_v1.hardware.available_logical_cpus	minimum=1	eng/contracts/schemas/cpu_profile.schema.json#/legacy_v1/hardware/available_logical_cpus
affinity	S4_合同schema	affinity	legacy_v1.hardware.affinity	minimum=0	eng/contracts/schemas/cpu_profile.schema.json#/legacy_v1/hardware/affinity/items
memory_limit_bytes	S4_合同schema	memory_limit_bytes	legacy_v1.hardware.memory_limit_bytes	minimum=1	eng/contracts/schemas/cpu_profile.schema.json#/legacy_v1/hardware/memory_limit_bytes
abi_version	S4_合同schema	abi_version	legacy_v1.build.abi_version	minimum=1	eng/contracts/schemas/cpu_profile.schema.json#/legacy_v1/build/abi_version
verdict	S4_合同schema	verdict	legacy_v1.verdict	enum=["PASS","FAIL"]	eng/contracts/schemas/cpu_profile.schema.json#/legacy_v1/verdict
schema	S4_合同schema	schema	profile_v2.schema	const="astrocs.cpu-profile/v2"	eng/contracts/schemas/cpu_profile.schema.json#/profile_v2/schema
arch	S4_合同schema	arch	profile_v2.host.arch	const="amd64"	eng/contracts/schemas/cpu_profile.schema.json#/profile_v2/host/arch
os_abi	S4_合同schema	os_abi	profile_v2.host.os_abi	enum=["linux","windows"]	eng/contracts/schemas/cpu_profile.schema.json#/profile_v2/host/os_abi
logical_available	S4_合同schema	logical_available	profile_v2.host.logical_available	minimum=1	eng/contracts/schemas/cpu_profile.schema.json#/profile_v2/host/logical_available
copy	S4_合同schema	copy	profile_v2.memory_bandwidth.copy	exclusiveMinimum=0	eng/contracts/schemas/cpu_profile.schema.json#/profile_v2/memory_bandwidth/copy
read	S4_合同schema	read	profile_v2.memory_bandwidth.read	exclusiveMinimum=0	eng/contracts/schemas/cpu_profile.schema.json#/profile_v2/memory_bandwidth/read
write	S4_合同schema	write	profile_v2.memory_bandwidth.write	exclusiveMinimum=0	eng/contracts/schemas/cpu_profile.schema.json#/profile_v2/memory_bandwidth/write
triad	S4_合同schema	triad	profile_v2.memory_bandwidth.triad	exclusiveMinimum=0	eng/contracts/schemas/cpu_profile.schema.json#/profile_v2/memory_bandwidth/triad
verdict	S4_合同schema	verdict	profile_v2.verdict	enum=["PASS","FAIL"]	eng/contracts/schemas/cpu_profile.schema.json#/profile_v2/verdict
kernel_v1.precision	S4_合同schema	kernel_v1.precision	kernel_v1.precision	enum=["fp32","fp64"]	eng/contracts/schemas/cpu_profile.schema.json#/kernel_v1/precision
size_class	S4_合同schema	size_class	kernel_v1.size_class	enum=["small","medium","large"]	eng/contracts/schemas/cpu_profile.schema.json#/kernel_v1/size_class
workers	S4_合同schema	workers	kernel_v1.workers	minimum=1	eng/contracts/schemas/cpu_profile.schema.json#/kernel_v1/workers
block_size	S4_合同schema	block_size	kernel_v1.block_size	minimum=0	eng/contracts/schemas/cpu_profile.schema.json#/kernel_v1/block_size
oracle_status	S4_合同schema	oracle_status	kernel_v1.oracle_status	enum=["PASS","pass"]	eng/contracts/schemas/cpu_profile.schema.json#/kernel_v1/oracle_status
provider	S4_合同schema	provider	kernel_v2.provider	enum=["baseline","avx2","avx512"]	eng/contracts/schemas/cpu_profile.schema.json#/kernel_v2/provider
workers	S4_合同schema	workers	kernel_v2.workers	minimum=1	eng/contracts/schemas/cpu_profile.schema.json#/kernel_v2/workers
block	S4_合同schema	block	kernel_v2.block	minimum=1	eng/contracts/schemas/cpu_profile.schema.json#/kernel_v2/block
median	S4_合同schema	median	kernel_v2.median	exclusiveMinimum=0	eng/contracts/schemas/cpu_profile.schema.json#/kernel_v2/median
mad	S4_合同schema	mad	kernel_v2.mad	minimum=0	eng/contracts/schemas/cpu_profile.schema.json#/kernel_v2/mad
schema	S4_合同schema	schema	schema	const="astrocs.dual-line-file-domain/v1"	eng/contracts/schemas/dual_line_file_domain.schema.json#/schema
line	S4_合同schema	line	lines.line	enum=["A","B","shared","report"]	eng/contracts/schemas/dual_line_file_domain.schema.json#/lines/items/line
schema_version	S4_合同schema	schema_version	schema_version	const=1	eng/contracts/schemas/hardware_inspect.schema.json#/schema_version
kind	S4_合同schema	kind	kind	const="astrocs_hardware_inspect"	eng/contracts/schemas/hardware_inspect.schema.json#/kind
architecture	S4_合同schema	architecture	architecture	const="amd64"	eng/contracts/schemas/hardware_inspect.schema.json#/architecture
feature_bits	S4_合同schema	feature_bits	feature_bits	minimum=1	eng/contracts/schemas/hardware_inspect.schema.json#/feature_bits
logical_cpus_configured	S4_合同schema	logical_cpus_configured	logical_cpus_configured	minimum=0	eng/contracts/schemas/hardware_inspect.schema.json#/logical_cpus_configured
affinity	S4_合同schema	affinity	affinity	minimum=0	eng/contracts/schemas/hardware_inspect.schema.json#/affinity/items
affinity_count	S4_合同schema	affinity_count	affinity_count	minimum=1	eng/contracts/schemas/hardware_inspect.schema.json#/affinity_count
available_logical_cpus	S4_合同schema	available_logical_cpus	available_logical_cpus	minimum=1	eng/contracts/schemas/hardware_inspect.schema.json#/available_logical_cpus
cgroup_cpu_limit	S4_合同schema	cgroup_cpu_limit	cgroup_cpu_limit	minimum=0	eng/contracts/schemas/hardware_inspect.schema.json#/cgroup_cpu_limit
numa_nodes	S4_合同schema	numa_nodes	numa_nodes	minimum=0	eng/contracts/schemas/hardware_inspect.schema.json#/numa_nodes
ram_bytes	S4_合同schema	ram_bytes	ram_bytes	minimum=0	eng/contracts/schemas/hardware_inspect.schema.json#/ram_bytes
page_size	S4_合同schema	page_size	page_size	minimum=1	eng/contracts/schemas/hardware_inspect.schema.json#/page_size
phase1_input_form_key	S4_合同schema	phase1_input_form_key	x-astrocs-field-vocabulary.phase1_input_form_key	default="archive"	eng/contracts/schemas/hips_storage_form.schema.json#/x-astrocs-field-vocabulary/phase1_input_form_key
leaf_run	S4_合同schema	leaf_run	leaf_run	minimum=0	eng/contracts/schemas/hips_storage_form.schema.json#/leaf_run/items
ipix	S4_合同schema	ipix	tile_entry.ipix	minimum=0	eng/contracts/schemas/hips_storage_form.schema.json#/tile_entry/ipix
coff	S4_合同schema	coff	tile_entry.coff	minimum=0	eng/contracts/schemas/hips_storage_form.schema.json#/tile_entry/coff
csize	S4_合同schema	csize	tile_entry.csize	minimum=1	eng/contracts/schemas/hips_storage_form.schema.json#/tile_entry/csize
usize	S4_合同schema	usize	tile_entry.usize	minimum=1	eng/contracts/schemas/hips_storage_form.schema.json#/tile_entry/usize
doff	S4_合同schema	doff	tile_entry.doff	minimum=0	eng/contracts/schemas/hips_storage_form.schema.json#/tile_entry/doff
dsize	S4_合同schema	dsize	tile_entry.dsize	minimum=1	eng/contracts/schemas/hips_storage_form.schema.json#/tile_entry/dsize
hips_order	S4_合同schema	hips_order	subproduct.hips_order	minimum=0	eng/contracts/schemas/hips_storage_form.schema.json#/subproduct/hips_order
hips_tile_width	S4_合同schema	hips_tile_width	subproduct.hips_tile_width	minimum=1	eng/contracts/schemas/hips_storage_form.schema.json#/subproduct/hips_tile_width
hips_tile_format	S4_合同schema	hips_tile_format	subproduct.hips_tile_format	enum=["fits"]	eng/contracts/schemas/hips_storage_form.schema.json#/subproduct/hips_tile_format
n_leaf_tiles	S4_合同schema	n_leaf_tiles	subproduct.n_leaf_tiles	minimum=0	eng/contracts/schemas/hips_storage_form.schema.json#/subproduct/n_leaf_tiles
encoding	S4_合同schema	encoding	subproduct.coverage.encoding	enum=["runs"]	eng/contracts/schemas/hips_storage_form.schema.json#/subproduct/coverage/encoding
frac_quant	S4_合同schema	frac_quant	subproduct.coverage.frac_quant	enum=[255]	eng/contracts/schemas/hips_storage_form.schema.json#/subproduct/coverage/frac_quant
leaf_frac	S4_合同schema	leaf_frac	subproduct.coverage.leaf_frac	minimum=0	eng/contracts/schemas/hips_storage_form.schema.json#/subproduct/coverage/leaf_frac/items
schema	S4_合同schema	index_schema	product_index.index_schema	const="astrocs.hips-index/v1"	eng/contracts/schemas/hips_storage_form.schema.json#/product_index/index_schema
storage_form	S4_合同schema	storage_form	product_index.storage_form	enum=["archive","bare"]	eng/contracts/schemas/hips_storage_form.schema.json#/product_index/storage_form
bytes	S4_合同schema	bytes	product_index.archive.bytes	minimum=1	eng/contracts/schemas/hips_storage_form.schema.json#/product_index/archive/bytes
frame_unit	S4_合同schema	frame_unit	product_index.archive.frame_unit	const="tar_member"	eng/contracts/schemas/hips_storage_form.schema.json#/product_index/archive/frame_unit
frac	S4_合同schema	frac	coverage_pair.frac	minimum=0;maximum=255	eng/contracts/schemas/hips_storage_form.schema.json#/coverage_pair/frac
ipix	S4_合同schema	ipix	coverage_block.ipix	minimum=0	eng/contracts/schemas/hips_storage_form.schema.json#/coverage_block/ipix
schema	S4_合同schema	index_schema	coverage_index.index_schema	const="astrocs.coverage-index/v1"	eng/contracts/schemas/hips_storage_form.schema.json#/coverage_index/index_schema
granularity.unit	S4_合同schema	granularity.unit	coverage_index.granularity.unit	const="hips_leaf_tile"	eng/contracts/schemas/hips_storage_form.schema.json#/coverage_index/granularity/unit
tile_width	S4_合同schema	tile_width	coverage_index.granularity.tile_width	minimum=1	eng/contracts/schemas/hips_storage_form.schema.json#/coverage_index/granularity/tile_width
hips_order	S4_合同schema	hips_order	coverage_index.granularity.hips_order	minimum=0	eng/contracts/schemas/hips_storage_form.schema.json#/coverage_index/granularity/hips_order
storage_form_value	S4_合同schema	storage_form_value	storage_form_value	enum=["archive","bare"]	eng/contracts/schemas/hips_storage_form.schema.json#/storage_form_value
n_frames	S4_合同schema	n_frames	coverage_index_ref.n_frames	minimum=0	eng/contracts/schemas/hips_storage_form.schema.json#/coverage_index_ref/n_frames
n_blocks	S4_合同schema	n_blocks	coverage_index_ref.n_blocks	minimum=0	eng/contracts/schemas/hips_storage_form.schema.json#/coverage_index_ref/n_blocks
archive_bytes	S4_合同schema	archive_bytes	manifest_storage_product.archive_bytes	minimum=1	eng/contracts/schemas/hips_storage_form.schema.json#/manifest_storage_product/archive_bytes
form_source	S4_合同schema	form_source	manifest_storage.form_source	enum=["config","default"]	eng/contracts/schemas/hips_storage_form.schema.json#/manifest_storage/form_source
n_frames	S4_合同schema	n_frames	manifest_storage.coverage_index.n_frames	minimum=0	eng/contracts/schemas/hips_storage_form.schema.json#/manifest_storage/coverage_index/n_frames
n_blocks	S4_合同schema	n_blocks	manifest_storage.coverage_index.n_blocks	minimum=0	eng/contracts/schemas/hips_storage_form.schema.json#/manifest_storage/coverage_index/n_blocks
schema_version	S4_合同schema	schema_version	schema_version	const="1"	eng/contracts/schemas/jsonl_event_v1.schema.json#/schema_version
sequence	S4_合同schema	sequence	sequence	minimum=0	eng/contracts/schemas/jsonl_event_v1.schema.json#/sequence
