类型,符号或键,位点,现行值,登记单位,机判档,条文命中
具名,kMinBalanceRebuild,lib/algorithms/drizzle/healpix_drizzle/nanoflann.hpp:2831,4,未标注,③未见于条文面,
具名,kBulkInsertFraction,lib/algorithms/drizzle/healpix_drizzle/nanoflann.hpp:2834,0.5,未标注,③未见于条文面,
具名,rebuild_growth,lib/algorithms/drizzle/healpix_drizzle/nanoflann.hpp:3710,1.3,未标注,③未见于条文面,
具名,max_leaf,lib/algorithms/drizzle/healpix_drizzle/nanoflann.hpp:3960,10,未标注,③未见于条文面,
具名,leaf_max_size,lib/algorithms/drizzle/healpix_drizzle/nanoflann.hpp:3997,10,未标注,③未见于条文面,
具名,M_PI,lib/algorithms/drizzle/healpix_drizzle/poly_clip.cpp:8,3.14159265358979323846,未标注,③未见于条文面,
具名,BIG,lib/algorithms/drizzle/healpix_drizzle/poly_clip.cpp:63,1e6,未标注,③未见于条文面,
具名,area,lib/algorithms/drizzle/healpix_drizzle/poly_clip.cpp:282,0.5,未标注,②条文有名无值,docs/algorithms/DRIZZLE_GEOMETRY.md:96 aio_hips_writer finalize_tile（variance = var_num_sum/area²，
具名,kBound,lib/algorithms/drizzle/healpix_drizzle/reverse_drizzle.cpp:198,1e9,未标注,③未见于条文面,
具名,npix_total,lib/algorithms/drizzle/healpix_drizzle/reverse_drizzle.cpp:330,12,未标注,③未见于条文面,
具名,src_scale_rad,lib/algorithms/drizzle/healpix_drizzle/reverse_drizzle.cpp:362,0.5,未标注,③未见于条文面,
具名,M_PI,lib/algorithms/drizzle/healpix_drizzle/snr_evaluator.cpp:20,3.14159265358979323846,未标注,③未见于条文面,
具名,D2R,lib/algorithms/drizzle/healpix_drizzle/snr_evaluator.cpp:28,0.017453292519943295769,未标注,③未见于条文面,
具名,R2D,lib/algorithms/drizzle/healpix_drizzle/snr_evaluator.cpp:29,57.2957795130823208768,未标注,③未见于条文面,
具名,DEFAULT_KNN,lib/algorithms/drizzle/healpix_drizzle/snr_evaluator.h:113,16,未标注,③未见于条文面,
具名,HP_CIRCUMRADIUS_FACTOR,lib/algorithms/drizzle/healpix_drizzle/spherical_overlap.cpp:42,1.25,未标注,①条文含值,docs/algorithms/DRIZZLE_GEOMETRY.md:114 （HP_CIRCUMRADIUS_FACTOR=1.25，:42）。**系数依据（可判定上界）**：HEALPix 单元的
具名,PI,lib/algorithms/drizzle/healpix_drizzle/spherical_overlap.cpp:80,3.14159265358979323846,未标注,③未见于条文面,
具名,TWO_PI,lib/algorithms/drizzle/healpix_drizzle/spherical_overlap.cpp:81,2.0,未标注,③未见于条文面,
具名,RAD2DEG,lib/algorithms/drizzle/healpix_drizzle/spherical_overlap.cpp:84,180.0,未标注,③未见于条文面,
具名,RAD_TO_ARCSEC,lib/algorithms/drizzle/healpix_drizzle/spherical_overlap.cpp:86,180.0,未标注,③未见于条文面,
