dx,dy,adrop,s0_4c_acos,s1_4c_stbl,s3_curve128_acos,s2_curve8,s2_curve32,s2_curve128,s2_curve512,oracle,r0,r1,r3,r2k8,r2k32,r2k128,r2k512,roracle,leafmax_err
-2.50,-1.50,9.401685e-13,9.401685e-13,9.401685e-13,9.401685e-13,9.401685e-13,9.401685e-13,9.401685e-13,9.401685e-13,9.401685e-13,8.592e-16,1.074e-15,1.074e-15,8.592e-16,1.074e-15,8.592e-16,1.074e-15,8.592e-16,8.996e-08
-2.50,-1.00,9.401919e-13,9.401919e-13,9.401919e-13,9.401919e-13,9.401919e-13,9.401919e-13,9.401919e-13,9.401919e-13,9.401919e-13,4.296e-16,6.444e-16,4.296e-16,8.592e-16,2.148e-16,4.296e-16,0.000e+00,6.444e-16,7.861e-08
-2.50,-0.50,9.401794e-13,9.401794e-13,9.401794e-13,9.401794e-13,9.401794e-13,9.401794e-13,9.401794e-13,9.401794e-13,9.401794e-13,1.074e-15,2.148e-16,1.074e-15,1.074e-15,1.074e-15,6.444e-16,8.592e-16,2.148e-16,7.345e-08
-2.50,0.00,9.401803e-13,9.401803e-13,9.401803e-13,9.401803e-13,9.401803e-13,9.401803e-13,9.401803e-13,9.401803e-13,9.401803e-13,1.074e-15,1.289e-15,1.289e-15,1.289e-15,1.289e-15,1.074e-15,6.444e-16,1.504e-15,6.250e-08
-2.50,0.50,9.401794e-13,9.401794e-13,9.401794e-13,9.401794e-13,9.401794e-13,9.401794e-13,9.401794e-13,9.401794e-13,9.401794e-13,1.718e-15,1.504e-15,1.504e-15,1.718e-15,8.592e-16,1.504e-15,2.363e-15,2.148e-15,3.415e-08
-2.50,1.00,9.401919e-13,9.406863e-13,9.406911e-13,9.401921e-13,9.401997e-13,9.401924e-13,9.401919e-13,9.401919e-13,9.401919e-13,5.259e-04,5.310e-04,2.634e-07,8.302e-06,5.189e-07,3.243e-08,2.027e-09,4.296e-16,2.869e-08
-2.50,1.50,9.401685e-13,9.401685e-13,9.401685e-13,9.401685e-13,9.401685e-13,9.401685e-13,9.401685e-13,9.401685e-13,9.401685e-13,8.592e-16,2.148e-16,4.296e-16,0.000e+00,2.148e-16,0.000e+00,2.148e-16,0.000e+00,3.279e-08
-2.50,2.00,9.401628e-13,9.403848e-13,9.403815e-13,9.401626e-13,9.401662e-13,9.401631e-13,9.401629e-13,9.401628e-13,9.401628e-13,2.361e-04,2.326e-04,2.075e-07,3.604e-06,2.252e-07,1.408e-08,8.798e-10,2.148e-16,3.272e-08
-2.50,2.50,9.401817e-13,9.401817e-13,9.401817e-13,9.401817e-13,9.401817e-13,9.401817e-13,9.401817e-13,9.401817e-13,9.401817e-13,6.444e-16,0.000e+00,0.000e+00,4.296e-16,6.444e-16,4.296e-16,2.148e-16,4.296e-16,3.593e-08
-2.50,3.00,9.401771e-13,9.401771e-13,9.401771e-13,9.401771e-13,9.401771e-13,9.401771e-13,9.401771e-13,9.401771e-13,9.401771e-13,2.148e-16,6.444e-16,2.148e-16,6.444e-16,8.592e-16,2.148e-16,2.148e-16,8.592e-16,4.730e-08
-2.50,3.50,9.401941e-13,9.400756e-13,9.400731e-13,9.401939e-13,9.401922e-13,9.401940e-13,9.401941e-13,9.401941e-13,9.401941e-13,1.261e-04,1.286e-04,1.669e-07,2.047e-06,1.279e-07,7.997e-09,4.998e-10,4.296e-16,4.930e-08
